106,Inc5000 Company List,106,24947,106,80,Patriot Group International,VA,Warrenton,Culpeper VA,3401.91,24073472.00,Government Services,1
107,Inc5000 Company List,107,25461,107,65,Insureon,IL,Chicago,Chicago,3357.81,11844049.00,Insurance,1
108,Inc5000 Company List,108,23215,108,146,RevLocal,OH,Granville,Columbus OH,3341.71,7268587.00,Advertising & Marketing,2
109,Inc5000 Company List,109,26392,109,37,Apex Fuels,CA,Murrieta,Riverside-San Bernardino-Ontario CA,3323.53,134567633.00,Energy,1
110,Inc5000 Company List,110,25606,110,200,Multicoreware,CA,Sunnyvale,San Jose,3322.11,7686082.00,Software,1
111,Inc5000 Company List,111,26420,111,87,MobileHelp,FL,Boca Raton,Miami,3304.82,18661656.00,Health,1
112,Inc5000 Company List,112,26464,112,12,Ataraxis,ID,Boise,Boise City-Nampa ID,3277.52,40765844.00,Human Resources,1
113,Inc5000 Company List,113,25241,113,15,Fortress Gold Group,CA,Sherman Oaks,Los Angeles,3257.97,9809304.00,Financial Services,1
114,Inc5000 Company List,114,23197,114,73,AdColony,CA,Los Angeles,Los Angeles,3236.47,52783000.00,Advertising & Marketing,2
115,Inc5000 Company List,115,26395,115,87,Integral Ad Science,NY,New York,New York City,3231.69,23442470.00,Advertising & Marketing,1
116,Inc5000 Company List,116,23076,116,18,Technomax,NJ,West Windsor,Trenton-Ewing NJ,3225.06,4002379.00,IT Services,2
117,Inc5000 Company List,117,25855,117,458,hCentive,VA,Reston,Washington DC,3214.46,26493445.00,Health,1
118,Inc5000 Company List,118,22903,118,14,Intelligent Audit,NJ,Rochelle Park,,3122.06,318842114.00,Logistics & Transportation,2
119,Inc5000 Company List,119,26332,119,60,SimpliSafe Home Security,MA,Cambridge,Boston,3075.84,38454825.00,Security,1
120,Inc5000 Company List,120,25436,120,43,Boxman Studios,NC,Charlotte,Charlotte,3074.08,4322910.00,Business Products & Services,1
121,Inc5000 Company List,121,26277,121,30,SeatGeek,NY,New York,New York City,3039.13,12274000.00,Consumer Products & Services,1
122,Inc5000 Company List,122,24847,122,23,Smashwords,CA,Los Gatos,San Jose,3018.57,22037828.00,Media,1
123,Inc5000 Company List,123,21756,123,18,Securityhunter,MD,Baltimore,Baltimore,2998.34,35931650.00,Government Services,3
124,Inc5000 Company List,124,21024,124,74,VRx,UT,Salt Lake City,Salt Lake City,2987.30,89554237.00,Health,3
125,Inc5000 Company List,125,25425,125,42,SmackTom.com,FL,Miami,Miami,2963.73,3125000.00,Retail,1
126,Inc5000 Company List,126,25034,126,10,Virtual Fleet Supervisor,FL,Oviedo,Orlando FL,2948.84,3526101.00,Software,1
127,Inc5000 Company List,127,25283,127,262,CareCloud,FL,Miami,Miami,2939.62,10455000.00,Health,1
128,Inc5000 Company List,128,24789,128,64,Fueled,NY,New York,New York City,2916.74,6486000.00,Advertising & Marketing,1
129,Inc5000 Company List,129,26484,129,14,Bob's Watches,CA,Westminster,Los Angeles,2861.19,11101120.00,Retail,1
130,Inc5000 Company List,130,24852,130,6,CPA Trend,NY,Howard Beach,New York City,2842.94,5826876.00,Advertising & Marketing,1
131,Inc5000 Company List,131,25054,131,17,Jobs2Careers,TX,Austin,Austin,2829.75,22359716.00,Human Resources,1
132,Inc5000 Company List,132,20998,132,200,29 Prime,CA,Irvine,Los Angeles,2790.92,20289054.00,Advertising & Marketing,3
133,Inc5000 Company List,133,21178,133,180,Prolim,MI,Farmington Hills,Detroit,2756.90,5129970.00,IT Services,2
134,Inc5000 Company List,134,24677,134,867,Loyal Source Government Services,FL,Orlando,Orlando FL,2753.52,55980536.00,Government Services,1
135,Inc5000 Company List,135,23162,135,24,Marketsmith,NJ,Parsippany,New York City,2752.56,72908666.00,Advertising & Marketing,2
136,Inc5000 Company List,136,25279,136,18,Project Management Academy,IN,West Lafayette,,2752.49,8094996.00,Education,1
137,Inc5000 Company List,137,24932,137,25,Flying Cork Media,PA,Pittsburgh,Pittsburgh PA,2745.42,7502709.00,Advertising & Marketing,1
138,Inc5000 Company List,138,24888,138,160,Motivity Labs,TX,Irving,Dallas,2716.00,3225899.00,IT Services,1
139,Inc5000 Company List,139,26263,139,232,Twilio,CA,San Francisco,San Francisco,2710.87,51720000.00,Telecommunications,1
140,Inc5000 Company List,140,25095,140,20,Signature Closers,OH,Upper Arlington,Columbus OH,2709.39,3843580.00,Real Estate,1
141,Inc5000 Company List,141,25749,141,81,PureCars,SC,Charleston,Charleston-North Charleston SC,2689.97,8725985.00,Advertising & Marketing,1
142,Inc5000 Company List,142,25236,142,96,The Cambridge Institute of International Education,MA,Waltham,Boston,2683.32,9784000.00,Education,1
143,Inc5000 Company List,143,25237,143,53,Market6,IL,Deerfield,Chicago,2677.20,15085838.00,Software,1
144,Inc5000 Company List,144,25594,144,53,LiveRamp,CA,San Francisco,San Francisco,2665.25,21040412.00,Advertising & Marketing,1
145,Inc5000 Company List,145,25620,145,160,MyClean,NY,New York,New York City,2646.40,4399793.00,Consumer Products & Services,1
146,Inc5000 Company List,146,26220,146,35,PresenceLearning,CA,San Francisco,San Francisco,2634.26,5906000.00,Education,1
147,Inc5000 Company List,147,26517,147,140,Residential Capital Management,GA,Atlanta,Atlanta,2626.02,30167124.00,Real Estate,1
148,Inc5000 Company List,148,25293,148,14,Total Technology Solutions Group,IL,St. Charles,Chicago,2608.09,3115496.00,Business Products & Services,1
149,Inc5000 Company List,149,25025,149,98,Buy PD,UT,American Fork,Provo-Orem UT,2606.35,79837059.00,Real Estate,1
150,Inc5000 Company List,150,22898,150,120,Goal Zero,UT,Bluffdale,Salt Lake City,2598.73,34249000.00,Consumer Products & Services,2
151,Inc5000 Company List,151,22864,151,89,Advocate Merchant Solutions,IN,Fishers,Indianapolis IN,2573.06,4531348.00,Financial Services,2
152,Inc5000 Company List,152,20327,152,2200,Sky Zone Indoor Trampoline Park,CA,Los Angeles,Los Angeles,2571.06,88183962.00,Consumer Products & Services,4
153,Inc5000 Company List,153,26205,153,11,Avenue Link,KS,Overland PArk,Kansas City MO-KS,2564.51,6360103.00,Advertising & Marketing,1
154,Inc5000 Company List,154,25975,154,12,Incredible Supply & Logistics,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,2550.71,7422000.00,Government Services,1
155,Inc5000 Company List,155,26126,155,14,ReSell,FL,Maitland,Orlando FL,2545.69,4728621.00,Business Products & Services,1
156,Inc5000 Company List,156,25004,156,29,Legion Logistics,KY,Florence,Cincinnati,2545.21,15115027.00,Logistics & Transportation,1
157,Inc5000 Company List,157,25205,157,11,GrayPay,CA,Encino,Los Angeles,2539.99,2981762.00,Financial Services,1
158,Inc5000 Company List,158,26496,158,1,Urban Investment Group,DC,Washington,Washington DC,2526.08,4822398.00,Real Estate,1
159,Inc5000 Company List,159,25206,159,12,SPHERE Technology Solutions,NJ,Hoboken,New York City,2524.09,3595000.00,Security,1
160,Inc5000 Company List,160,26135,160,64,Bai Brands,NJ,Hamilton,Trenton-Ewing NJ,2521.67,17139891.00,Food & Beverage,1
